Nationality,Name,FullName,Age,Height,Weight,Overall,PreferredFoot,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
China PR,Fan Yunlong,Yunlong Fan,33,180,75,62.0,0,3,3,72,54,64,63,53,69
Sudan,A. Eisa,Abo Eisa,26,180,75,62.0,1,3,3,91,55,53,64,28,58
Spain,Simo,Wassim Keddari Boulif,17,188,80,62.0,1,3,2,59,36,49,53,63,64
Antigua and Barbuda,N. Townsend,Nick Townsend,27,181,80,62.0,1,2,1,61,63,59,63,48,62
Portugal,Fabinho,Fábio Pereira Baptista,21,169,63,62.0,1,3,2,71,34,54,63,59,51
Saudi Arabia,R. Al Ghamdi,Raid Al Ghamdi,28,176,77,62.0,1,3,3,75,61,56,63,38,65
Saudi Arabia,B. Al Mutairi,Bandar Al Mutairi,32,168,66,62.0,0,3,2,78,28,52,58,56,57
Norway,S. Kartum,Sander Erik Kartum,26,180,73,62.0,1,3,2,59,53,59,64,54,65
England,J. Gordon,Josh Gordon,27,178,70,62.0,1,3,3,79,59,55,64,48,79
Germany,M. Feigenspan,Mike Feigenspan,26,180,75,62.0,1,2,3,83,59,55,62,36,61
Denmark,Z. Sertdemir,Zidan Sertdemir,17,184,76,62.0,0,3,3,69,54,62,69,47,54
Netherlands,S. Sno,Shaquill Sno,26,176,70,62.0,1,3,2,78,50,53,61,57,63
China PR,Luo Jing,Jing Luo,28,181,76,62.0,1,3,3,71,60,59,62,61,61
England,C. Burton,Callum Burton,25,188,80,62.0,1,3,1,64,61,60,64,42,59
Poland,K. Nowak,Krystian Nowak,28,188,83,62.0,1,3,2,59,44,55,51,60,71
Republic of Ireland,A. Greene,Aaron Greene,32,177,79,62.0,0,3,3,82,58,55,60,36,70
England,J. Kay,Josh Kay,25,183,75,62.0,1,3,2,72,56,58,62,51,70
England,C. McAleny,Conor McAleny,29,178,66,62.0,1,3,3,81,60,59,65,24,54
Netherlands,M. Sankoh,Mohamed Sankoh,18,180,78,62.0,1,2,3,74,62,48,63,22,52
Argentina,J. Giani,Justo Giani,23,180,69,62.0,1,3,3,71,60,59,62,25,53
Austria,J. Tartarotti,Johannes Tartarotti,22,176,70,62.0,1,3,3,65,56,63,64,55,62
Scotland,J. Hastie,Jake Hastie,23,181,75,62.0,0,3,3,77,59,56,64,29,53
Saudi Arabia,M. Al Mufarrij,Muteb Al Mufarrij,25,182,70,62.0,0,3,2,62,26,43,50,63,64
Norway,J. Soltvedt,Joachim Soltvedt,26,188,77,62.0,0,3,2,70,54,56,59,55,62
United States,I. Vassilev,Indiana Vassilev,21,175,65,62.0,0,3,3,73,61,55,65,32,49
Germany,F. Herbst,Fabian Herbst,22,190,83,62.0,1,3,2,60,29,41,54,60,73
Spain,Álex Padilla,Alejandro Padilla Pérez,18,190,80,62.0,1,3,1,64,65,62,63,31,61
Czech Republic,T. Holý,Tomáš Holý,30,206,102,62.0,1,3,1,64,58,60,63,37,61
England,L. Brown,Lee Brown,31,183,79,62.0,0,2,2,53,53,59,60,60,72
United States,J. Atencio,Josh Atencio,20,185,79,62.0,1,3,2,59,37,50,51,63,70
Wales,R. Astley,Ryan Astley,20,184,74,62.0,1,3,2,51,34,52,49,64,55
Scotland,E. Henderson,Euan Henderson,22,175,75,62.0,1,3,3,83,62,59,63,30,58
Wales,G. Ray,George Ray,28,193,71,62.0,1,2,2,54,18,29,47,61,71
Colombia,C. Montaño,Cristian Montaño,30,180,76,62.0,0,3,3,77,57,56,62,57,59
Finland,J. Tuominen,Jasse Tuominen,26,187,74,62.0,1,3,2,65,62,50,59,39,64
Switzerland,B. Krasniqi,Bledian Krasniqi,21,173,63,62.0,1,3,3,70,54,62,66,53,58
Portugal,Celton Biai,Celton Ansumane Biai,21,185,84,62.0,1,3,1,63,59,60,67,22,59
Germany,M. Tolba,Mohammed Tolba,17,185,76,62.0,1,2,2,61,38,53,60,61,63
France,F. Lajugie,François Lajugie,26,187,72,62.0,1,3,2,62,37,50,53,63,64
Korea Republic,Kim Han Gil,Han Gil Kim,27,178,65,62.0,0,3,2,78,54,48,62,28,67
France,M. Picouleau,Mathis Picouleau,22,171,63,62.0,0,3,2,65,51,63,69,53,41
Haiti,D. Jean,Dany Jean,19,175,70,62.0,1,3,2,82,62,48,64,23,52
Saudi Arabia,A. Al Khulaif,Ayman Al Khulaif,25,163,59,62.0,1,3,2,85,49,54,67,22,37
Romania,I. Popescu,Iustin Popescu,28,188,80,62.0,1,2,1,62,60,60,61,19,60
Sweden,D. Vukojević,Dijan Vukojević,26,184,84,62.0,1,3,3,81,61,54,64,20,68
Netherlands,N. Tjoe-A-On,Nathan Tjoe-A-On,20,191,80,62.0,0,3,2,71,38,50,56,57,66
Senegal,M. Tambedou,Modou Tambedou,19,178,60,62.0,1,3,2,70,33,50,57,60,67
China PR,Yang Kuo,Kuo Yang,29,183,79,62.0,1,2,2,76,52,56,56,56,68
Argentina,J. Romero,Julián Romero,18,178,73,62.0,1,3,3,76,61,56,66,34,57
England,P. Kalambayi,Paul Kalambayi,22,183,80,62.0,1,2,2,64,22,41,45,62,74
Spain,Iker Piedra,Iker Piedra Blanco,20,182,74,62.0,1,3,1,60,61,60,64,36,62
Norway,J. Braut-Brunes,Jonatan Braut-Brunes,21,188,78,62.0,0,3,3,72,60,53,62,42,67
France,Y. Severin,Yoan Severin,25,188,79,62.0,0,3,2,65,27,48,50,62,66
Croatia,M. Karamarko,Marin Karamarko,24,191,79,62.0,0,3,2,63,25,39,43,63,69
Senegal,D. Seck,Demba Seck,21,190,75,62.0,0,3,3,69,62,55,68,30,54
Spain,Salinas,José Salinas Morán,21,179,69,62.0,0,2,2,56,36,50,60,61,54
Sweden,C. Widell,Casper Widell,19,191,86,62.0,1,2,2,53,26,50,48,61,68
Argentina,M. Luciano,Martin Luciano,18,177,70,62.0,0,2,2,80,32,51,54,57,54
Portugal,Guilherme Soares,Guilherme Araújo Soares,21,186,80,62.0,1,2,2,54,29,42,44,63,65
Romania,O. Perianu,Ovidiu Perianu,20,180,73,62.0,1,3,2,74,52,55,63,60,70
Uruguay,J. Lavega,Joaquín Lavega,17,175,71,62.0,0,2,2,74,58,58,63,25,44
Paraguay,F. Ovelar,Fernando Ovelar,18,170,71,62.0,0,3,3,71,58,58,64,48,50
Republic of Ireland,L. Watson,Louie Watson,20,176,60,62.0,1,3,3,66,49,60,67,41,42
Paraguay,K. Fernández,Kevin Fernández,23,177,81,62.0,0,2,2,71,63,59,61,21,50
Argentina,S. Ramos Mingo,Santiago Ramos Mingo,20,186,74,62.0,0,2,2,52,34,47,50,63,54
United States,B. Shea,Brek Shea,32,191,86,62.0,0,2,3,63,59,60,61,57,71
Romania,A. Mihaiu,Andreas Mihaiu,23,179,74,62.0,1,2,3,74,55,56,62,21,54
Australia,J. Hoffman,Jason Hoffman,33,189,78,62.0,1,3,2,71,53,54,59,55,75
Scotland,F. Murray,Fraser Murray,23,175,68,62.0,1,3,3,70,58,61,62,49,52
Spain,Alcedo,Juan María Alcedo Serrano,21,179,75,62.0,0,3,2,69,35,42,58,62,60
Norway,K. Onsrud,Kristian Onsrud,27,186,80,62.0,0,3,2,53,56,57,60,56,70
Spain,Iago Domínguez,Iago Domínguez Rodríguez,20,183,76,62.0,1,2,1,59,67,60,61,39,56
Turkey,A. Şimşir,Aral Şimşir,20,178,70,62.0,1,4,4,77,57,55,67,36,57
Venezuela,C. Díaz,Carlos Díaz,21,175,67,62.0,1,2,2,55,25,42,43,62,59
Italy,E. Duca,Edoardo Duca,25,178,75,62.0,1,3,3,67,53,58,64,42,59
Venezuela,K. Díaz,Kevin Díaz,20,164,64,62.0,1,3,3,75,57,56,61,24,45
Côte d'Ivoire,J. N'Guessan,Jean N'Guessan,19,177,80,62.0,1,2,3,70,54,63,64,59,60
Hungary,A. Bencze,Antal Bencze,20,190,81,62.0,1,2,1,62,60,57,66,26,61
Norway,M. Høyland,Martin Høyland,26,185,77,62.0,1,3,2,53,45,54,55,59,70
Italy,E. Polverino,Emanuele Polverino,25,182,75,62.0,1,2,1,65,62,57,61,24,63
England,J. Mitchell,Jonathan Mitchell,27,189,86,62.0,1,2,1,61,62,63,62,51,59
England,M. Peart-Harris,Myles Peart-Harris,19,187,70,62.0,1,3,2,63,63,62,62,39,57
Cameroon,F. Pemi Moumbagna,Faris Pemi Moumbagna,22,185,77,62.0,0,3,2,85,58,49,60,25,68
Germany,L. Dehl,Laurenz Dehl,20,179,76,62.0,0,2,2,61,56,59,64,46,54
England,R. Crichlow,Romoney Crichlow,23,184,72,62.0,0,2,2,65,34,43,55,62,66
Spain,Alan Godoy,Alan Godoy Domínguez,19,178,70,62.0,1,3,2,74,61,48,68,31,43
China PR,Hu Jinghang,Jinghang Hu,25,183,75,62.0,1,3,3,77,58,53,61,34,70
Turkey,A. Dadakdeniz,Ataberk Dadakdeniz,22,194,84,62.0,1,3,1,63,61,58,65,30,58
Turkey,Ç. Kurukalıp,Çağtay Kurukalıp,20,172,70,62.0,0,2,2,78,33,51,62,56,57
England,J. McAtee,James McAtee,19,180,72,62.0,0,3,2,59,60,58,67,40,57
Netherlands,A. Madi,Achraf Madi,20,178,64,62.0,1,3,3,69,53,62,65,52,54
Canada,E. Ongaro,Easton Ongaro,24,198,84,62.0,0,2,2,63,60,41,54,20,62
Bolivia,E. Velasquez,Emerson Velasquez,23,187,70,62.0,1,3,2,55,28,45,41,62,68
Tunisia,S. Khelifi,Salim Khelifi,28,173,65,62.0,1,3,3,76,55,58,64,30,45
Slovenia,N. Prelec,Nik Prelec,21,186,80,62.0,0,3,2,66,63,53,61,21,62
France,S. Sissoko,Sambou Sissoko,23,186,73,62.0,1,3,2,72,41,57,61,60,68
China PR,Luo Senwen,Senwen Luo,29,188,80,62.0,1,3,3,66,61,59,61,58,71
Bolivia,V. Melgar,Victor Melgar,34,171,71,62.0,1,3,2,57,52,55,62,61,63
Venezuela,W. Carmona,Wikelman Carmona,19,180,73,62.0,0,5,3,80,57,57,67,39,54
England,B. Jackson,Ben Jackson,21,178,73,62.0,0,3,2,79,35,49,60,59,58
Denmark,M. Wichmann,Mathias Wichmann,30,183,82,62.0,1,3,2,52,57,63,62,60,70
Germany,J. Plautz,Justin Plautz,23,183,76,62.0,0,4,3,74,48,55,61,56,63
United States,C. Odoi-Atsem,Chris Odoi-Atsem,27,178,68,62.0,1,3,2,75,42,56,60,59,60
Saudi Arabia,A. Al Owayshir,Abdullah Al Owayshir,31,184,69,62.0,1,3,1,67,57,60,64,38,55
Wales,E. Hewitt,Elliott Hewitt,28,186,75,62.0,1,3,2,71,45,54,57,58,71
Belgium,J. Eppiah,Josh Eppiah,23,175,73,62.0,0,2,2,78,60,51,64,31,60
England,J. Hawkes,Josh Hawkes,23,180,70,62.0,1,3,3,69,59,59,63,36,56
United States,J. Tomkinson,Jonathan Tomkinson,20,190,78,62.0,1,3,2,64,31,40,40,62,70
Netherlands,L. Everink,Luca Everink,21,179,76,62.0,1,3,2,72,31,47,58,59,68
Italy,R. Romeo,Roberto Romeo,32,175,68,62.0,1,3,3,75,57,58,61,56,66
Spain,Chanza,Jorge Chanza Zapata,24,182,74,62.0,1,3,1,62,63,64,61,33,60
Austria,L. Fadinger,Lukas Fadinger,21,176,65,62.0,1,3,3,67,59,60,66,45,52
Denmark,O. Hedvall,Oscar Hedvall,23,195,89,62.0,0,3,1,66,60,63,64,31,60
Argentina,T. Geralnik,Tiago José Geralnik,19,178,69,62.0,1,3,3,61,54,64,63,37,48
Ghana,A. Akurugu,Amankwaa Akurugu,20,174,70,62.0,0,3,2,73,29,46,56,58,55
Norway,M. Sande,Mads Sande,24,181,73,62.0,1,3,2,73,51,56,61,47,65
England,J. Falkingham,Josh Falkingham,31,168,64,62.0,0,3,2,59,53,59,64,59,55
England,N. Wood,Nathan Wood,20,188,75,62.0,1,3,2,77,24,39,46,62,65
Netherlands,F. Serrarens,Fabian Serrarens,31,188,72,62.0,1,3,3,68,59,56,62,34,75
Uruguay,J. Poiso,Joel Poiso,18,177,71,62.0,1,3,2,67,48,53,56,54,55
Paraguay,A. Aguilar,Alex Aguilar,21,178,75,62.0,0,2,2,55,26,40,49,62,64
Scotland,B. Alston,Blair Alston,30,179,71,62.0,1,3,3,64,58,64,65,50,58
Senegal,M. Sarr,Mouhamadou Sarr,25,190,80,62.0,1,2,1,65,60,55,70,43,55
Spain,Javi Guerra,Javier Guerra Moreno,19,187,70,62.0,1,3,2,59,54,63,62,53,57
France,E. Seidou,Edson Seidou,30,182,87,62.0,0,2,2,66,50,59,62,57,74
Brazil,Adriano Firmino,Adriano Firmino da Silva,22,190,72,62.0,1,3,2,56,47,60,58,59,61
Denmark,P. Gregor,Pascal Gregor,28,189,80,62.0,1,3,2,63,39,53,58,60,68
Senegal,I. Soumaré,Issa Soumaré,21,182,78,62.0,1,2,2,82,63,50,65,18,46
Paraguay,R. Rodríguez,Rodolfo Rodríguez,35,191,94,62.0,1,2,1,63,61,62,63,25,60
Paraguay,D. Bobadilla,Damián Bobadilla,20,185,76,62.0,1,3,3,64,57,57,62,62,61
Brazil,Paulo Eduardo,Paulo Eduardo Ferreira Godinho,20,188,84,62.0,0,1,2,59,35,46,43,64,67
Spain,Álex Revuelta,Alejandro Revuelta Montero,22,192,80,62.0,1,3,2,66,31,41,42,61,70
Romania,A. Panait,Andrei Panait,33,182,79,62.0,1,2,2,54,44,54,44,60,71
Belgium,R. Lavia,Romeo Lavia,18,181,75,62.0,1,3,2,56,41,52,59,62,60
Ecuador,C. García,Cristhian García,19,183,69,62.0,0,3,3,68,55,56,61,58,54
Uruguay,B. Mansilla,Brian Nicolás Mansilla,20,176,75,62.0,0,3,3,72,60,56,65,46,55
Congo DR,J. Kabananga,Junior Kabananga,33,189,91,62.0,0,2,3,70,63,52,59,29,68
Germany,D. Pejčinović,Dženan Pejčinović,17,188,78,62.0,0,3,2,62,60,52,61,24,59
Wales,M. Southam-Hales,Macauley Southam-Hales,26,175,69,62.0,1,3,2,77,45,52,60,55,58
Faroe Islands,B. Olsen,Brandur H. Olsen,26,178,75,62.0,1,4,3,55,60,64,64,50,67
Germany,Ş. Çetin,Şahverdi Çetin,21,174,70,62.0,1,3,3,59,62,59,66,55,56
Spain,Adrián Sardinero,Adrián Sardinero Corpa,31,175,60,62.0,1,3,2,73,56,57,64,45,59
China PR,Zou Dehai,Dehai Zou,29,187,73,62.0,1,3,1,59,61,58,64,46,62
Costa Rica,P. Sequeira,Patrick Gilmar Sequeira,23,190,84,62.0,1,3,1,69,62,64,59,35,56
Uruguay,R. Sanchez,Renzo Sanchez,18,170,64,62.0,1,3,3,75,59,57,61,36,52
Germany,B. Ezeh,Brooklyn Ezeh,21,188,87,62.0,0,3,2,71,33,49,61,59,67
United States,S. Berhalter,Sebastian Berhalter,21,175,70,62.0,1,2,2,68,43,59,63,57,61
Saudi Arabia,T. Abdullah,Tareq Abdullah,26,170,64,62.0,1,3,2,68,30,50,58,61,65
France,M. Bastian,Maxime Bastian,21,173,65,62.0,0,2,2,71,34,49,59,58,57
Argentina,M. Aruga,Martín Aruga,23,172,72,62.0,0,2,2,71,36,49,59,59,59
Montenegro,N. Kosović,Nebojša Kosović,27,177,67,62.0,1,4,2,66,63,65,65,58,47
England,H. Beautyman,Harry Beautyman,30,178,74,62.0,1,4,3,68,59,61,64,57,62
Denmark,L. Sørensen,Lasse Sørensen,22,185,78,62.0,1,3,2,64,55,61,62,60,63
Brazil,Baltazar,Baltazar Oliveira,22,178,77,62.0,1,3,2,67,54,60,66,55,68
Romania,D. Șerbănică,Daniel Șerbănică,26,181,76,62.0,0,3,2,67,36,53,46,60,68
Curacao,K. Felida,Kevin Felida,22,173,63,62.0,1,3,2,64,47,56,58,60,62
Portugal,Martim Tavares,Martim Miguel Carneiro Tavares,18,183,75,62.0,1,3,2,61,67,45,54,22,58
England,T. Beadling,Tom Beadling,26,186,80,62.0,1,3,2,63,53,55,59,60,69
Lithuania,T. Krapikas,Titas Krapikas,23,194,85,62.0,1,2,1,62,60,59,64,25,58
Nigeria,C. Egbuchulam,Chisom Egbuchulam,30,175,70,62.0,1,3,3,75,61,50,69,23,56
Nigeria,S. Osigwe,Sebastian Osigwe,28,185,80,62.0,1,2,1,65,64,61,61,31,59
Germany,M. Sponsel,Meiko Sponsel,20,189,81,62.0,1,3,2,64,43,56,56,60,66
Ukraine,O. Ocheretko,Oleg Ocheretko,19,181,75,62.0,0,3,2,65,55,61,64,35,60
France,T. Diagouraga,Toumani Diagouraga,35,188,72,62.0,1,3,2,39,56,59,55,59,70
Germany,D. Lippert,Dennis Lippert,26,172,63,62.0,0,3,2,66,31,48,59,59,47
Cyprus,R. Sotiriou,Ruel Sotiriou,21,175,71,62.0,1,2,3,82,59,52,65,19,58
Netherlands,N. Markelo,Nathangelo Markelo,23,182,74,62.0,1,2,2,61,43,54,60,60,66
Peru,I. Espinoza,Italo Espinoza,26,186,83,62.0,1,2,1,62,61,64,61,46,60
Ecuador,L. Becerra,Luis Becerra,24,180,86,62.0,1,3,3,71,50,55,60,59,67
Germany,T. Deniz,Tunay Deniz,28,184,72,62.0,1,4,3,72,60,62,62,44,59
Korea Republic,S. Hong,Seok-ju Hong,19,187,77,62.0,1,3,2,67,58,48,65,23,62
Costa Rica,B. Oviedo,Bryan Oviedo,32,172,70,62.0,0,3,3,65,55,60,63,58,59
Netherlands,D. James,Dean James,22,177,71,62.0,0,3,3,75,29,50,55,60,58
Denmark,M. Pedersen,Mikkel Pedersen,26,182,80,62.0,1,3,2,65,54,59,64,59,67
Venezuela,E. Mina,Eliéser Mina,31,182,85,62.0,1,3,3,72,60,53,56,18,63
Norway,J. Moe,Jeppe Arctander Moe,26,185,73,62.0,0,3,2,66,35,57,59,58,62
Netherlands,B. Plat,Brian Plat,22,191,82,62.0,1,2,2,56,27,46,39,61,74
Chile,G. Norambuena,Gabriel Norambuena,19,176,71,62.0,1,3,2,86,57,51,65,26,55
England,D. Simeu,Dynel Simeu,20,187,75,62.0,1,2,2,62,29,46,47,60,73
Spain,Marc Carbó,Marc Carbó Bellapart,28,185,76,62.0,1,3,2,60,55,58,60,55,56
Spain,Ibra Pérez,Ibraima José Barry Pérez,20,178,71,62.0,1,3,2,68,49,61,64,55,63
Germany,C. Riedel,Clemens Riedel,18,186,73,62.0,1,3,2,55,25,38,46,65,60
Argentina,M. Esponda,Marcelo Esponda,19,176,76,62.0,1,3,2,66,54,58,61,59,61
Republic of Ireland,A. Judge,Alan Judge,33,169,70,62.0,1,3,3,51,62,64,66,53,51
Italy,M. Gatto,Massimiliano Gatto,26,182,74,62.0,1,3,3,71,54,60,64,34,52
Germany,T. Kastanaras,Thomas Kastanaras,19,186,80,62.0,1,3,2,58,64,51,59,22,58
Republic of Ireland,L. Connell,Luca Connell,21,177,75,62.0,0,3,2,66,53,64,65,50,61
Sweden,C. Björk,Carl Björk,22,184,74,62.0,1,3,2,78,60,52,61,27,62
Korea Republic,Lee Yong Rae,Yong Rae Lee,36,175,71,62.0,0,3,2,48,55,64,61,56,72
Sweden,T. Prica,Tim Prica,20,183,75,62.0,0,3,3,63,64,56,65,21,69
Germany,L. Watkowiak,Lukas Watkowiak,26,197,105,62.0,1,3,1,59,59,57,66,21,63
Republic of Ireland,D. Bernard,Dominic Bernard,25,180,73,62.0,1,3,2,74,37,51,60,61,71
France,S. Trémoulet,Sandro Trémoulet,22,190,73,62.0,0,3,2,64,29,47,46,62,66
Italy,A. Gabrielloni,Alessandro Gabrielloni,27,178,78,62.0,1,3,2,71,62,46,60,25,59
Colombia,Ó. Segura,Óscar Segura,19,179,73,62.0,1,3,2,72,45,57,61,52,60
England,R. Haynes,Ryan Haynes,26,184,68,62.0,0,3,2,72,53,57,60,57,68
Korea Republic,Ji Eon Hak,Eon Hak Ji,28,177,77,62.0,1,3,3,73,58,59,67,38,62
Germany,L. Mercan,Levent Mercan,21,176,69,62.0,0,5,2,65,62,63,66,49,47
China PR,Feng Jin,Jin Feng,28,179,72,62.0,1,3,2,78,56,58,64,50,72
Brazil,Dêniro Prestes,Dêniro Rubens Prestes Cadete,22,187,82,62.0,1,3,2,47,64,44,58,27,73
England,K. Dennis,Kristian Dennis,32,180,75,62.0,0,1,2,57,63,51,61,37,73
Hungary,B. Balogh,Botond Balogh,20,189,77,62.0,1,3,2,59,30,36,36,64,64
Spain,Tovar,Jaume Tovar Seguí,23,188,77,62.0,1,3,2,60,60,46,59,21,71
Slovakia,F. Balaj,Filip Balaj,24,192,81,62.0,1,3,2,61,60,45,59,44,73
Morocco,N. Sadaoui,Noah Sadaoui,28,180,78,62.0,1,4,3,80,58,52,63,31,63
Germany,M. Wegner,Max Wegner,33,179,80,62.0,1,4,2,71,61,49,63,34,76
Netherlands,V. Vermeulen,Valentino Vermeulen,20,177,76,62.0,1,3,3,73,49,60,62,30,62
China PR,Shao Puliang,Puliang Shao,32,187,83,62.0,1,3,1,58,62,63,59,33,63
Benin,J. Olaitan Ishola,Junior Olaitan Ishola,20,174,72,62.0,1,3,2,78,58,59,65,52,74
Iceland,T. Úlfarsson,Thor Úlfarsson,21,185,80,62.0,1,3,2,70,62,57,57,20,65
China PR,Zhong Yihao,Yihao Zhong,26,178,75,62.0,1,3,2,79,56,54,62,53,69
England,T. Eyoma,TJ Eyoma,22,183,76,62.0,1,4,2,72,35,53,54,61,71
Denmark,F. Alves,Frederik Alves,22,195,84,62.0,1,3,2,47,30,40,47,62,72
Romania,R. Ispas,Rareș Ispas,21,178,70,62.0,0,2,2,77,26,48,52,57,60
Croatia,L. Mikić,Leo Mikić,25,180,76,62.0,1,3,3,74,61,53,64,27,63
Germany,K. Goden,Kevin Goden,23,182,74,62.0,1,2,2,85,38,50,57,57,62
United States,G. Dorsey,Griffin Dorsey,23,183,72,61.0,1,2,2,70,49,57,60,48,63
Korea Republic,Jeong Dong Yun,Dong Yun Jeong,28,175,72,61.0,1,4,2,71,41,58,57,56,66
Spain,Almerge,Javier Almerge Viñuales,21,178,69,61.0,1,3,2,61,37,54,52,61,58
Saudi Arabia,R. Al Ibrahim,Riyadh Al Ibrahim,28,178,70,61.0,1,3,2,65,57,58,63,38,56
Uruguay,A. Romero,Andrés Romero,24,180,78,61.0,1,3,2,65,31,53,58,63,57
Portugal,Pedro Teixeira,João Pedro Teixeira Silva,20,192,76,61.0,1,2,1,62,60,59,63,28,61
Ecuador,G. Mina,Glendys Mina,26,175,75,61.0,0,3,3,81,48,58,56,61,58
England,S. MacDonald,Shaun MacDonald,25,185,74,61.0,1,3,1,60,60,61,63,54,62
Scotland,H. St Clair,Harvey St Clair,23,175,65,61.0,1,4,2,68,56,61,61,31,38
England,T. Knowles,Tom Knowles,23,183,70,61.0,1,4,3,84,58,52,62,33,70
Turkey,H. Akman,Hamza Yiğit Akman,17,172,65,61.0,1,3,3,72,51,59,72,47,43
England,D. Happe,Dan Happe,23,195,85,61.0,0,3,2,55,28,42,42,60,77
Peru,I. Quispe,Ismael Quispe,22,183,84,61.0,1,2,1,60,61,60,62,29,60
France,S. Djeffal,Sofiane Djeffal,23,177,69,61.0,1,3,3,68,52,61,64,52,61
Germany,J. Wosz,Joscha Wosz,19,173,75,61.0,1,3,2,66,54,59,70,49,49
Sweden,J. Bertilsson,Johan Bertilsson,34,177,68,61.0,1,2,3,63,58,60,63,32,52
Korea Republic,Park Jung Bin,Jung Bin Park,28,175,73,61.0,1,5,4,75,57,58,63,38,45
Sweden,P. Nwadike,Patrick Nwadike,23,190,87,61.0,1,2,2,59,36,48,53,58,72
Republic of Ireland,B. McNamee,Barry McNamee,30,175,78,61.0,0,4,3,59,54,60,62,53,62
Guinea,S. Camara,Sekou Camara,24,183,70,61.0,1,2,2,83,55,48,61,42,71
Venezuela,C. Calzadilla,Carlos Calzadilla,20,181,72,61.0,1,3,3,76,49,54,63,28,54
Romania,A. Hofman,Albert Hofman,19,181,71,61.0,0,4,2,72,60,56,63,27,54
Poland,W. Kamiński,Wojciech Kamiński,21,187,85,61.0,1,2,2,59,42,50,53,60,72
Spain,Dali,Dalisson de Almeida Leite,22,172,70,61.0,1,3,3,73,53,61,65,41,47
Venezuela,J. Quintero,Jesús Quintero,21,189,92,61.0,1,3,2,59,30,42,41,60,70
Republic of Ireland,A. Boyle,Andy Boyle,31,178,78,61.0,1,2,2,45,37,49,47,60,73
Venezuela,L. Mosquera,Leonardo Mosquera,21,174,71,61.0,1,3,3,70,49,49,57,56,61
Poland,M. Wędrychowski,Marcel Wędrychowski,20,171,69,61.0,0,3,3,78,49,53,69,27,44
Spain,Kike Ríos,Enrique Ríos Vega,22,187,80,61.0,0,3,2,60,30,40,42,60,67
Mauritania,I. Thiam,Idrissa Thiam,21,177,61,61.0,1,3,4,59,60,58,62,19,44
Saudi Arabia,N. Al Sharari,Nader Al Sharari,26,184,80,61.0,1,3,2,69,25,43,42,60,70
China PR,Lin Longchang,Longchang Lin,32,187,82,61.0,1,2,2,45,32,32,40,60,75
Korea Republic,Ji Dong Won,Dong Won Ji,31,188,82,61.0,1,4,3,56,63,59,59,40,59
Sweden,S. Almadjed,Sumar Almadjed,26,183,76,61.0,1,2,2,68,55,62,57,56,63
Germany,M. Franzke,Maximilian Franzke,23,184,71,61.0,1,4,3,76,51,56,64,27,58
North Macedonia,D. Krezic,Daniel Krezic,26,186,71,61.0,0,3,3,71,52,57,60,55,60
Russia,I. Konovalov,Ivan Konovalov,27,191,82,61.0,1,2,1,56,59,55,64,21,66
Germany,F. Schock,Florian Schock,21,199,95,61.0,1,2,1,58,59,56,62,26,62
England,R. Bennett,Richie Bennett,31,191,85,61.0,0,3,2,53,60,42,56,25,76
Sweden,A. Muhsin,Amar Muhsin,24,190,78,61.0,0,3,2,74,61,48,55,18,58
Germany,L. Semić,Lion Semić,18,169,68,61.0,1,4,3,82,38,50,63,54,63
Argentina,B. Orosco,Brian Orosco,24,175,63,61.0,1,3,2,64,50,58,68,36,47
Germany,B. Sambou,Bassala Sambou,24,184,75,61.0,1,3,2,81,58,47,62,33,72
Poland,S. Kobusiński,Szymon Kobusiński,24,181,78,61.0,1,3,2,76,61,54,60,20,63
England,J. Maddox,Jacob Maddox,23,179,69,61.0,1,3,3,71,55,61,64,53,55
Italy,F. Rossi,Francesco Rossi,31,193,83,61.0,1,2,1,63,62,63,62,22,60
Poland,F. Szymczak,Filip Szymczak,20,187,84,61.0,1,5,3,74,60,43,62,20,59
Bosnia and Herzegovina,R. Smajić,Rijad Smajić,18,190,82,61.0,1,2,2,65,30,44,50,61,66
France,J. Belocian,Jeanuël Belocian,17,182,73,61.0,1,3,2,65,39,55,58,60,64
Greece,M. Kosidis,Michalis Kosidis,20,191,89,61.0,1,3,2,66,62,47,58,23,65
Sweden,S. Sabetkar,Sean Sabetkar,27,187,81,61.0,1,3,2,51,26,40,38,59,71
Argentina,L. Ovando,Lautaro Ovando,19,174,73,61.0,1,3,2,65,60,48,63,23,62
Australia,E. Pavlis,Emmanuel Pavlis,19,176,72,61.0,1,3,2,67,56,63,61,56,52
United States,E. Edwards Jr.,Earl Edwards Jr.,30,191,93,61.0,1,2,1,58,64,60,57,42,65
Spain,Pacheco,Antonio Pacheco Ruiz,20,184,72,61.0,1,3,3,61,47,60,56,58,61
Saudi Arabia,A. Al Jadaani,Abdullah Al Jadaani,30,180,79,61.0,1,3,1,64,57,57,63,49,59
Spain,Kikín,José Antonio Ángel García,19,185,68,61.0,1,3,2,71,35,42,59,61,52
China PR,Chang Feiya,Feiya Chang,29,177,74,61.0,1,4,2,75,55,55,60,37,57
Denmark,J. Eskesen,Julius Eskesen,23,175,68,61.0,1,3,3,69,50,59,67,53,60
