FullName,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,BestPosition,Position
Scott Brown,58,56,55,56,51,57,GK,3
Brooklyn Lyons-Foster,51,29,42,44,58,60,CB,1
Nawaf Al Aqidi,62,59,57,51,31,58,GK,3
Diego González,59,57,58,58,34,55,GK,3
Valon Zumberi,58,31,34,35,61,60,CB,1
Johan Rojas,64,55,58,62,53,58,CAM,0
Mio Backhaus,61,55,57,63,19,57,GK,3
Antonio Espigares Morillas,55,34,46,41,60,57,CB,1
Abdullah Hdheriti,71,58,40,57,23,58,ST,6
Jakub Kisiel,62,37,50,53,56,66,CB,1
Mikkel Rakneberg,72,56,52,61,30,55,CAM,0
Leonardo Díaz,57,26,48,40,58,61,CB,1
Daniel Adamczyk,59,59,61,62,26,58,GK,3
Nico Carrera,51,28,38,41,59,62,CB,1
Idrissa Camara,80,54,42,66,16,34,LW,4
Hassan Al Majhad,59,47,54,60,55,56,CM,2
Terry Ablade,76,57,46,57,28,60,ST,6
Xiaofeng Geng,59,62,52,56,41,52,GK,3
Ludvig Nåvik,67,48,57,61,44,52,CAM,0
Leon Schaffran,62,61,59,56,28,56,GK,3
Hubert Szulc,84,58,39,57,17,48,ST,6
Tomasz Neugebauer,63,56,57,56,56,56,CAM,0
Juan Pedro Navarro Valverde,61,57,61,60,30,57,GK,3
Saad Al Selouli,73,48,52,64,44,43,CAM,0
Mohammed Al Haeti,60,54,55,59,39,59,GK,3
Ben Nelson,65,32,40,47,57,68,CB,1
Vladislav Molchan,55,29,40,35,60,66,CB,1
Teddy Jenks,69,52,55,61,56,66,CAM,0
Alhagi Touray Sisay,67,56,44,57,36,71,ST,6
Martín Ballesteros,60,62,55,52,53,54,GK,3
Christian Norton,82,57,49,59,31,52,CAM,0
Milan Kvocera,66,57,55,59,34,57,CAM,0
Shane Griffin,59,40,53,54,58,61,CB,1
Matías González,67,37,44,46,57,61,CB,1
Matti Peltola,65,35,54,54,58,61,CB,1
Philip Mårtensson,60,58,59,60,29,58,GK,3
Aston Oxborough,58,59,56,57,43,56,GK,3
Gerónimo Plada,71,54,45,59,30,48,LW,4
Chun Lok Tan,67,48,56,60,42,58,CAM,0
Ali Al Aamri,60,55,56,59,30,57,GK,3
Ángel Vaca,55,61,53,57,30,59,ST,6
Dennis Lütke-Frie,65,40,58,59,52,61,CM,2
Alex Robertson,67,47,57,61,50,50,CAM,0
Michel Stöcker,64,31,44,46,59,59,CB,1
Naël Jaby,66,46,56,58,55,44,CAM,0
Thomas Rekdal,66,52,60,59,42,56,CAM,0
Ilyas Lefrancq,69,52,52,65,26,42,CAM,0
George Wickens,58,57,62,61,30,55,GK,3
Jayden Harris,67,48,54,54,54,70,CB,1
Adnane Abid,70,49,54,65,19,36,RW,5
Wilson Ramírez,61,60,58,53,22,55,GK,3
Georgi Tunjov,64,43,56,59,52,53,CAM,0
Pelle Mattsson,59,47,56,61,55,59,CM,2
Justin Vom Steeg,59,60,54,57,27,52,GK,3
Hayden Muller,63,29,43,48,58,64,CB,1
Philipp Schulz,54,41,52,52,59,63,CB,1
Pedro Campos,77,56,47,63,28,37,ST,6
Omar Saeed,68,34,44,52,56,64,CB,1
Jordan McEneff,64,49,57,59,42,44,CAM,0
Nils Rossen,71,51,60,61,54,46,CAM,0
Luis Guillén,60,54,50,64,22,57,GK,3
Hermann Tebily,72,57,52,60,22,57,ST,6
Jie Ling,73,58,41,59,17,45,ST,6
Sung Min Hwang,58,59,59,55,39,61,GK,3
Alexandre Pierre,59,56,62,59,19,58,GK,3
Shane McEleney,32,33,45,46,55,73,CB,1
Agustín Univaso,44,62,45,43,24,68,ST,6
Joshua Schwirten,60,57,59,60,42,51,CAM,0
Miroslav Gono,68,47,56,59,49,62,CM,2
Sonny Perkins,67,56,48,58,24,55,ST,6
Alejandro Primo Hernández,61,58,50,60,36,54,GK,3
Olivier Dumont,63,47,61,61,51,45,CAM,0
JJ Lunney,57,52,57,62,54,56,CAM,0
Adrian Segecic,73,51,51,64,32,47,CAM,0
Max Hagemoser,59,56,58,60,24,57,GK,3
Hussain Shaian,55,57,55,59,48,58,GK,3
Malek Al Abdulmunem,75,55,39,58,19,58,ST,6
Young Eun Choi,58,58,47,61,19,54,GK,3
Derek Mazou-Sacko,63,45,56,59,52,55,CM,2
Promise Omochere,72,55,51,58,40,70,ST,6
Dane Massey,45,51,57,54,58,59,CB,1
Răzvan Began,62,55,53,55,32,56,GK,3
Yuan Zhang,77,39,50,60,55,68,CB,1
Maximiliano Torrealba,74,56,46,59,25,51,ST,6
Max Sprang,58,63,56,54,17,54,GK,3
Jeffrey Gal,60,49,65,61,18,63,GK,3
Calum Kavanagh,76,57,45,58,19,57,ST,6
Korede Adedoyin,72,58,49,61,34,63,ST,6
Luciano Valente,59,46,58,61,37,53,CAM,0
Tomasz Pieńko,65,56,48,60,18,60,ST,6
Kas de Wit,69,48,58,62,40,47,CAM,0
Eduard Dutu,64,29,40,37,60,61,CB,1
Robert Castellanos,56,24,38,41,57,68,CB,1
Ryan Brennan,52,57,58,57,56,62,CM,2
Matteo Bignetti,60,59,55,62,28,56,GK,3
Davide Merola,55,58,46,57,24,49,ST,6
Miloš Bočić,66,57,41,63,22,50,ST,6
Lenín Checco,62,55,58,58,57,57,CM,2
Zeno Van Den Bosch,64,25,47,45,57,55,CB,1
Danilo Orsi,73,57,46,59,24,63,ST,6
Julen Fernández Díaz,60,62,51,61,31,51,GK,3
Robert Voloder,65,27,36,41,59,60,CB,1
Adil Khan,58,46,45,50,54,79,CB,1
Louis Lord,62,56,56,60,27,58,GK,3
Cheick Conde,64,54,57,60,56,58,CAM,0
Luis Barco,62,54,57,59,57,57,CM,2
Seedy Jatta,72,56,42,62,21,51,ST,6
Weijun Xie,70,55,48,54,24,65,ST,6
Xavi Moreno,64,55,57,57,53,57,CAM,0
Mark Spenkelink,60,59,59,62,32,58,GK,3
Drissa Camara,62,44,55,59,51,57,CM,2
Muhannad Al Qaydhi,61,24,42,45,57,67,CB,1
Jorge Cabezudo,59,57,56,56,35,54,GK,3
Oregan Ravet,60,56,50,67,27,51,GK,3
Wojciech Łaski,70,57,53,58,33,58,CAM,0
Esmir Bajraktarevic,73,41,51,68,33,47,CAM,0
Jonas Wendlinger,63,58,60,61,25,47,GK,3
Chan Yong Park,62,31,45,39,57,67,CB,1
Oscar Aga,69,58,41,57,21,56,ST,6
Mohamed Ben Fredj,51,61,43,55,20,42,ST,6
Thomas Secchi,61,54,55,62,31,56,GK,3
Orlando Colmán,46,48,55,61,53,51,CAM,0
Bruno Oliveira Bertinato,59,58,56,59,19,50,GK,3
Logan Ketterer,54,57,55,52,38,65,GK,3
Gorka San Nicolás Gil,60,56,56,60,23,56,GK,3
Max Kulke,67,52,56,59,54,53,CAM,0
Stefanos Kittos,62,59,55,60,24,54,GK,3
Moudi Najjar,68,55,51,55,52,65,ST,6
Sultan Al Manthari,62,56,51,58,30,60,GK,3
Seong Hoon Cheon,55,55,43,58,31,57,ST,6
Hassan Al Habib,58,56,58,60,54,70,CAM,0
Jared Harlock,70,47,57,58,46,47,CAM,0
Juan Uribe,60,61,55,57,24,52,GK,3
Nishan Velupillay,88,53,50,61,30,50,RW,5
Pablo López Gallo,56,29,37,39,62,58,CB,1
Ryan Trevitt,61,54,55,60,39,53,CAM,0
Daniel Tiefenbach,67,47,56,66,48,58,CAM,0
Stephan Seiler,70,49,55,62,53,60,CAM,0
Cameron Evans,61,20,39,50,58,63,CB,1
Shane Blaney,55,31,44,43,56,67,CB,1
Iván Bonifazi,57,66,64,55,25,54,GK,3
Bryce Washington,71,23,43,37,57,68,CB,1
Matthias Gragger,67,39,48,55,54,69,CB,1
Niall Morahan,61,51,57,59,55,57,CAM,0
César Pérez,66,47,53,60,44,50,CAM,0
Eric N'Jo,58,29,37,38,61,53,CB,1
Jakub Stolarczyk,59,56,55,63,35,56,GK,3
Theo Gunnar Martens,80,55,45,61,17,65,ST,6
Theo Sander,57,59,57,58,35,56,GK,3
Tristan Crama,65,31,40,44,60,57,CB,1
Charlie McCann,70,56,61,64,53,51,CAM,0
Simon van Duivenbooden,50,59,50,57,23,63,ST,6
Sam Bowen,71,51,57,60,52,61,CAM,0
Lukas Sedlak,59,55,58,62,23,55,GK,3
Rocco Ríos Novo,59,53,50,63,24,51,GK,3
Grant Horton,67,24,41,48,56,65,CB,1
Alex Lacey,60,31,41,44,59,63,CB,1
Li Zhang,58,48,57,59,61,62,CM,2
Marcelo Acosta,67,55,58,57,55,57,CAM,0
Haji Mnoga,77,34,46,54,53,76,CB,1
Louis Mouton,66,40,54,57,52,59,CM,2
Thomas Callens,63,59,57,59,17,58,GK,3
Lee Steacy,58,57,55,57,38,58,GK,3
Jason Ngouabi,55,27,41,38,56,72,CB,1
Wladimir Wagner,75,57,45,56,18,61,ST,6
Diosdany Goncalves,58,29,50,48,58,62,CB,1
Abdulmohsen Fallatah,54,29,36,42,57,66,CB,1
Adam Petersson,64,52,54,60,54,52,CAM,0
Juan Gilbert Sánchez,60,47,56,59,53,61,CM,2
Adrian Szczutowski,72,57,38,55,19,59,ST,6
Lucas Bartlett,54,24,34,32,57,72,CB,1
Jonas Michelbrink,59,45,57,64,37,38,CAM,0
Germán Fernández Hidalgo,56,60,54,61,30,58,GK,3
Andi Hoti,57,23,31,40,58,68,CB,1
Alexander García,63,58,59,56,56,54,CAM,0
Justin Rennicks,68,58,46,55,24,56,ST,6
Jim McNulty,32,38,48,44,59,58,CB,1
Lucas Noubi,69,21,48,56,55,70,CB,1
Shenglong Jiang,69,42,51,53,54,73,CB,1
Luke Charman,72,58,44,53,31,64,ST,6
Jordan Perruzza,64,60,39,55,19,57,ST,6
Kyle Hurst,76,49,48,61,29,44,LW,4
Miguel Sánchez Tabares,54,57,54,65,28,50,GK,3
Sebastian Pasquali,57,49,59,62,54,56,CAM,0
Vladyslav Ostrovskyi,58,59,47,58,23,41,ST,6
Szymon Włodarczyk,66,56,38,55,21,63,ST,6
Benjamin Kanuric,57,42,57,61,51,65,CM,2
Seán Boyd,42,58,45,51,32,70,ST,6
Yuanyi Li,72,59,56,57,53,68,ST,6
Jack Keaney,61,54,59,53,52,69,CM,2
Thomas Roche,57,58,55,59,31,62,GK,3
Reda Benchaa,64,30,41,47,57,65,CB,1
Joey DeZart,63,37,48,48,59,71,CB,1
Wilson Vernaza,62,54,54,57,57,57,CAM,0
Charlie Jolley,67,59,44,58,19,55,ST,6
Furkan Bayır,61,30,38,37,59,61,CB,1
Kegs Chauke,71,47,55,61,37,41,CAM,0
Harrison Sawyer,60,56,38,54,27,78,ST,6
Akil Wright,66,43,50,56,57,73,CB,1
Virgil Drăghia,55,60,58,57,40,58,GK,3
Raúl Blanco Juncal,65,50,56,59,49,43,CAM,0
Mads Enggård,64,45,56,63,55,50,CAM,0
Marley Marshall Miranda,71,53,55,59,53,62,CAM,0
Abdulwahab Jafar,76,51,52,63,46,50,RW,5
Lucas Chrubasik,59,59,43,53,21,69,ST,6
Adrian Durrer,54,34,45,48,55,70,CB,1
Branislav Knežević,60,52,52,57,37,52,CAM,0
Deepak Tangri,68,37,48,52,55,73,CB,1
Sebastián Parra,68,43,60,60,44,48,CAM,0
Yassine Kechta,60,47,56,59,53,48,CAM,0
Justin McMaster,77,59,47,63,27,58,ST,6
Teddy Bartouche-Selbonne,61,56,55,62,27,54,GK,3
Jason Mbock,76,60,52,62,19,39,CAM,0
Abdullah Al Shammari,58,55,52,58,45,56,GK,3
Riley Harbottle,61,27,38,46,57,65,CB,1
Nicky Clescenco,69,55,47,61,25,39,LW,4
Tijany Atallah,59,28,42,40,58,57,CB,1
Dior Angus,77,54,44,56,23,65,ST,6
Je Ho Yu,51,40,57,59,43,54,CM,2
Qi Cui,63,26,36,40,59,65,CB,1
Alexandros Safarikas,55,55,64,57,23,56,GK,3
Elias Sebastian Solberg,73,46,54,61,35,45,CAM,0
Diego Acevedo,79,53,55,61,50,47,CAM,0
Daniel González García,66,44,56,59,43,51,CAM,0
Niklas Jessen,63,49,58,60,41,54,CAM,0
Tyler Frost,75,52,52,60,40,52,CAM,0
Jayden Wareham,69,56,44,57,25,52,ST,6
Vlad Pop,72,48,56,59,50,68,CM,2
Cem Çelik,63,51,55,59,50,53,CAM,0
Oskar Wójcik,59,26,41,40,57,63,CB,1
Godberg Cooper,65,57,35,51,24,71,ST,6
Maryan Faryna,68,34,44,50,57,62,CB,1
Kyle Jameson,54,30,40,44,57,67,CB,1
Raghid Al Najjar,60,54,57,58,36,56,GK,3
Mohammed Al Qunayan,72,41,52,60,51,53,CAM,0
Matt Bersano,60,51,60,58,36,54,GK,3
Lucien Hawryluk,55,59,58,55,28,56,GK,3
Sang Min Yang,38,51,56,55,57,54,CB,1
Quentin Galvez-Diarra,58,60,55,58,15,56,GK,3
Archie Goodwin,70,55,43,58,23,50,ST,6
Ricardo Bettocchi,57,56,52,60,30,57,GK,3
Luca Menke,55,33,36,41,56,70,CB,1
Flavio Alcedo,62,26,43,33,58,63,CB,1
Stanley Flaherty,71,50,57,58,40,41,CAM,0
Gilles Richard,54,28,36,44,57,68,CB,1
Cristóbal Finch,61,21,36,34,58,64,CB,1
Stefano Marino,63,57,40,55,18,59,ST,6
Wout De Buyser,67,25,44,49,56,59,CB,1
Jordan Courtney-Perkins,72,22,39,44,55,67,CB,1
Jakub Szymański,48,28,32,34,57,70,CB,1
Sebastian Selin,58,59,56,57,31,58,GK,3
Henry Atola,68,56,45,56,19,53,ST,6
Wiktor Pleśnierowicz,63,28,35,40,58,65,CB,1
José Mijares,63,54,53,57,56,57,CAM,0
Frank Nouble,64,55,50,56,37,74,ST,6
Fernando Ruiz Díaz,64,57,40,52,18,62,ST,6
Jonathan Capuz,54,56,55,60,54,58,CAM,0
Presley Pululu,69,52,52,62,26,45,CAM,0
William Osula,73,57,46,62,18,56,CAM,0
Ben Hompesch,66,48,51,61,39,52,CAM,0
Cameron Cook,56,55,62,58,30,57,GK,3
Gustavo Peralta,68,57,42,53,20,48,ST,6
Ben House,63,56,46,55,33,55,ST,6
Douglas Tharme,59,22,37,39,56,71,CB,1
Nils De Mol,58,56,56,59,32,54,GK,3
George Acosta,67,51,50,63,35,42,CAM,0
Noel Eichinger,63,57,52,54,26,57,ST,6
Jacob Eng,83,48,45,61,23,40,RW,5
Kelvin Ehibhatiomhan,64,57,40,54,19,58,ST,6
Elliot Thorpe,65,49,57,55,48,53,CAM,0
Jin Beom An,69,58,58,63,45,45,CAM,0
Yuanjie Su,73,52,48,58,43,56,RW,5
Tianyi Qiu,77,30,32,48,52,71,CB,1
Jannik Zahmel,77,57,55,57,23,51,ST,6
Jakob Bookjans,64,51,53,62,32,57,CAM,0
Michael Weier,55,58,58,58,24,58,GK,3
Lewis Richards,66,41,50,53,55,67,CB,1
Amir Ismaïl,70,54,45,59,22,46,ST,6
Marc Leonard,64,46,55,58,53,60,CM,2
Lequincio Zeefuik,73,54,37,52,24,65,ST,6
Nahuel Noll,57,58,59,57,27,55,GK,3
Peter Urminsky,59,58,57,59,28,57,GK,3
Anton Mlinaric,67,25,42,40,59,61,CB,1
Leon King,58,27,36,40,56,66,CB,1
Gun Park,56,25,44,37,55,65,CB,1
Hormipam Ruivah,64,35,43,51,56,67,CB,1
Paul Bourdelle,55,57,50,59,52,57,GK,3
Jack Wells-Morrison,56,48,56,58,51,59,CM,2
Joel Sundström,61,40,57,61,40,59,CAM,0
Antonio Yakoub,67,57,49,58,22,48,CAM,0
Chanka Zimba,68,53,47,54,36,68,ST,6
Koray Dag,71,56,47,55,18,55,ST,6
Giuseppe Marcianò,56,56,59,63,31,51,GK,3
Daniel Barden,58,59,57,62,23,55,GK,3
Aodh Dervin,60,51,54,59,54,62,CAM,0
Gilbert Fuentes,66,43,53,65,39,53,CAM,0
Adam Foley,62,55,50,53,39,65,ST,6
Vishal Kaith,53,54,56,57,30,60,GK,3
Lukas Jensen,59,54,56,57,24,52,GK,3
Faisal Abo Bakr,56,30,38,40,57,63,CB,1
Dayler Quintela,58,54,55,59,30,54,GK,3
Blondy Nna Noukeu,59,55,54,64,17,52,GK,3
Tuncer Duhan Aksu,58,32,35,42,60,56,CB,1
Sam Karssies,57,59,54,59,19,55,GK,3
Johannes Schenk,56,54,64,63,17,59,GK,3
Mattia Motolese,54,31,35,37,59,62,CB,1
Douglas James-Taylor,76,55,40,55,25,62,ST,6
Patrik Mercado,68,38,53,54,54,54,CM,2
Harvey Saunders,90,55,46,58,22,45,ST,6
Filip Zawadzki,68,45,53,63,31,45,CAM,0
Josh Lillis,56,56,55,57,44,57,GK,3
Barry Baggley,65,50,52,62,49,43,CAM,0
Darko Gyabi,67,45,56,58,52,67,CAM,0
Nurullah Aslan,56,58,56,59,31,58,GK,3
Tomás Romero Cejudo,61,58,62,60,28,50,GK,3
Andrew Thomas,59,55,61,60,25,55,GK,3
Joe Hilton,57,59,54,64,29,50,GK,3
Collins Sichenje,62,32,48,54,57,61,CB,1
Owen Bevan,59,33,40,46,59,56,CB,1
Ethan Bartlow,58,34,33,36,60,64,CB,1
Oskar Fallenius,78,55,49,62,18,47,CAM,0
Dario Marzino,63,52,53,60,47,53,GK,3
Colin McCabe,60,56,55,58,36,56,GK,3
Romeo Giovannini,72,59,49,60,24,46,ST,6
Paul Doyle,53,36,56,60,51,64,CM,2
Jahnoah Markelo,82,58,47,60,30,40,ST,6
José Alfredo Flores,69,56,53,59,40,54,RW,5
Charlie Brown,62,55,45,54,24,61,ST,6
Morgan Boyes,62,37,49,58,57,57,CB,1
Joachim Imbrechts,62,55,56,60,38,50,GK,3
Keith Cowan,31,36,34,36,56,70,CB,1
William Sandford,62,36,50,54,56,61,CB,1
Efe-Kaan Sihlaroglu,64,48,56,59,50,52,CAM,0
Bryan González,72,44,55,65,42,44,CAM,0
Mathis Bruns,41,26,34,43,58,57,CB,1
Shaqai Forde,70,57,42,56,28,56,ST,6
Jung Ho Kim,58,58,51,59,25,54,GK,3
Aday Ercan,60,46,47,56,55,64,CB,1
Maissa Ndiaye,59,33,36,42,63,46,CB,1
Antoni Kozubal,67,47,53,58,51,66,CAM,0
Nasser Djiga,70,26,42,38,57,66,CB,1
Dan Carr,59,55,47,60,21,60,ST,6
José Carrillo Mancilla,54,21,38,44,57,60,CB,1
Tom Clayton,61,32,40,45,57,60,CB,1
Oliver Denham,61,26,30,37,57,65,CB,1
Keyendrah Simmonds,70,58,46,59,23,51,ST,6
Taye Ashby-Hammond,57,58,56,59,23,56,GK,3
Robin Roefs,56,54,57,60,18,55,GK,3
Jaber Asiri,65,57,44,57,23,59,ST,6
Prabhsukhan Gill,59,56,57,60,29,58,GK,3
Jaime Durán Jiménez,59,61,58,58,31,54,GK,3
Kipp Keller,60,29,30,33,56,68,CB,1
Milan Smit,51,59,44,57,25,54,ST,6
Williams Tortolero,55,56,58,60,21,55,GK,3
Song Hoon Shin,53,55,52,60,19,58,GK,3
Hannes Küng,56,26,36,39,58,63,CB,1
Otto Lindell,58,55,58,60,33,55,GK,3
Bartłomiej Mruk,62,27,30,34,58,63,CB,1
Musab Al Juwair,67,52,58,59,43,64,CAM,0
Darragh Nugent,56,55,55,56,54,64,CAM,0
Jake Hollman,69,50,53,60,40,56,CAM,0
Zack Farnsworth,73,29,41,52,56,60,CB,1
Michael Ruhs,75,55,49,58,41,65,ST,6
Ben Reveno,65,41,44,53,55,64,CB,1
Hassan Ghazwani,68,47,55,62,38,51,CAM,0
Franz Roggow,61,49,52,55,52,62,CM,2
Tom Hendriks,57,58,54,55,27,56,GK,3
Seong Ung Maeng,58,40,59,53,51,57,CM,2
Sebastian Bergier,62,56,50,56,24,55,ST,6
Luca Bendel,57,54,55,56,41,58,GK,3
Joshua Feeney,50,31,42,41,58,50,CB,1
Sam Long,61,54,58,57,42,53,GK,3
Jamal Baptiste,64,31,43,43,56,61,CB,1
Jonathan Corozo,66,55,53,58,60,59,CB,1
Nana Boateng,78,43,50,59,32,55,CAM,0
Ezequiel Emanuele,63,55,53,58,53,60,CAM,0
Max Balard,63,47,59,57,50,47,CAM,0
Emrecan Uzunhan,64,30,44,47,57,63,CB,1
Bartłomiej Ciepiela,64,49,55,60,34,52,CAM,0
Lucas Zahaczewski,58,56,56,59,29,58,GK,3
Jay Barnett,63,43,52,61,53,58,CM,2
Ben Worman,73,53,56,62,51,53,CAM,0
Sam Sargeant,59,57,55,58,45,56,GK,3
Andrei Gorcea,55,55,49,62,28,53,GK,3
Wangsong Tan,33,54,56,56,61,65,CB,1
Paul-Philipp Besong,65,55,39,54,28,63,ST,6
Max Dyche,62,32,42,46,55,68,CB,1
Martín Suárez,62,49,56,56,52,52,CM,2
Jesper Adolfsson,70,27,43,44,56,61,CB,1
Simon Beccari,59,54,53,57,39,55,GK,3
Jan Reichert,61,57,58,57,29,55,GK,3
Lindrit Kamberi,65,24,36,39,56,69,CB,1
Noor Al Rashidi,64,25,43,43,57,60,CB,1
Aloïs Penin,60,32,45,45,57,58,CB,1
Vittorio Agostinelli,54,48,56,60,32,54,CAM,0
Dheeraj Singh Moirangthem,56,55,56,62,31,54,GK,3
Basim Al Baqi,57,53,54,55,45,60,GK,3
Calem Nieuwenhof,63,50,56,61,54,43,CAM,0
Mattia Ciucci,58,32,38,37,55,66,CB,1
Sef Van Damme,65,55,55,60,19,57,GK,3
José Arbio,60,54,53,60,24,48,GK,3
Guillermo Duhalde,65,28,37,39,58,61,CB,1
Walter Martínez Tauda,68,43,54,63,37,55,CAM,0
Harry Steele,67,38,56,53,49,54,CM,2
Kevin Wiethaup,70,43,54,60,38,48,CAM,0
Guillermo Gajardo,55,58,57,55,24,54,GK,3
Jankat Yılmaz,62,54,46,59,26,53,GK,3
Thomas Gillier,59,54,56,57,21,54,GK,3
Pape Samba Thiam,56,59,40,50,18,58,ST,6
Jekob Abiezer Jeno,56,35,51,53,54,64,CB,1
Mikkel Ceïde,62,23,39,45,58,59,CB,1
Leonardo Marson,57,60,58,60,20,56,GK,3
Brian McManus,60,52,56,58,52,60,CAM,0
Nicolas Popescu,69,40,53,58,53,57,CAM,0
Recep Burak Yılmaz,60,29,37,44,57,59,CB,1
Unai Ruiz Almandzo,54,57,55,59,20,55,GK,3
Madou Touré,60,39,51,53,56,56,CB,1
Freddy Kleemann,54,25,35,32,58,64,CB,1
Mohammed Al Mahasna,58,56,53,55,45,57,GK,3
Ben Paton,71,51,53,57,51,51,CAM,0
Courtney Duffus,68,56,46,56,28,65,ST,6
Coby Rowe,46,31,38,39,57,70,CB,1
Maximilian Neutgens,59,54,55,63,25,55,GK,3
Harvey Macadam,62,51,54,57,54,68,CM,2
Yoan Koré,62,36,51,53,58,59,CB,1
Aribim Pepple,73,55,40,56,27,70,ST,6
Rekeil Pyke,75,54,44,61,39,57,ST,6
Weiguo Liu,58,50,60,59,49,58,GK,3
David Skubl,61,56,52,60,17,51,GK,3
Marwan Al Haidari,58,55,55,55,31,58,GK,3
Jimmy Knowles,80,55,45,56,27,56,ST,6
Ryan East,68,48,58,64,51,47,CAM,0
Emmanuel Ogura,60,55,61,59,64,55,GK,3
Anwar Ali,70,33,45,50,54,71,CB,1
Tadhg Ryan,59,56,54,58,45,55,GK,3
Jason McClelland,66,56,55,57,51,51,CAM,0
Manuel Osifo,77,25,49,58,55,62,CB,1
Tom Geerkens,57,40,51,49,55,64,CB,1
Timmy Abraham,86,54,38,55,23,59,ST,6
Timothé Nkada,68,56,48,59,22,50,ST,6
Oisin Smyth,66,46,57,60,47,61,CAM,0
Ali Al-Hamadi,71,56,39,55,18,59,ST,6
Alex Hunt,62,52,54,63,51,41,CAM,0
Alessio Besio,66,55,44,56,25,62,ST,6
Daniel Aguirre,64,40,55,58,48,53,CM,2
Fatih Yılmaz,54,26,36,38,61,55,CB,1
Alexander Larsson,58,56,42,55,23,54,ST,6
Brett Minnema,58,55,55,61,19,52,GK,3
Edison Azcona,67,54,49,64,23,38,CAM,0
Johan Bakke,63,49,56,56,51,43,CAM,0
Divin Mubama,81,54,44,57,24,53,ST,6
Mateusz Kowalski,59,54,37,51,26,66,ST,6
Ian Fray,72,28,37,49,54,59,CB,1
Louis Zabala,64,47,54,59,42,70,CAM,0
Caolán Boyd-Munce,63,52,55,53,45,61,CAM,0
Noah Raveyre,54,52,59,60,20,56,GK,3
Mitchell Roberts,61,25,40,45,56,65,CB,1
Nathanaël Saintini,60,27,39,38,54,68,CB,1
Giovanni Grotta,58,54,57,59,25,49,GK,3
Juan José Echave,56,54,54,56,24,52,GK,3
Jayden Reid,80,54,46,57,20,51,ST,6
Mateusz Dudek,55,57,60,58,20,57,GK,3
Emilian Metu,66,41,54,61,52,65,CAM,0
Rhys Hughes,62,52,57,57,46,54,CAM,0
Carmine Chiappetta,70,52,48,58,17,49,RW,5
Max Wolfs,55,50,51,62,25,56,GK,3
Adam Ingi Benediktsson,56,53,52,59,37,55,GK,3
Woo Suk Kim,39,25,37,40,55,63,CB,1
Luca Moro,68,53,42,53,18,56,ST,6
Yegor Matsenko,55,39,44,42,54,63,CB,1
Julius Lindgren,62,56,54,54,26,52,GK,3
Santiago Visentin,55,25,29,31,57,66,CB,1
Jake Rooney,60,36,45,52,56,60,CB,1
Sil Swinkels,50,31,37,37,56,60,CB,1
Yang Wang,64,33,45,47,56,58,CB,1
Vincenzo Ciriello,68,26,32,38,57,59,CB,1
Regan Griffiths,67,47,54,59,47,58,CAM,0
Jakub Ojrzyński,56,56,57,60,25,58,GK,3
Nick Hayes,54,56,57,56,22,54,GK,3
Nicky Hernandez,65,53,55,65,43,54,CAM,0
Zech Obiero,73,43,51,60,36,44,CAM,0
Adrian Soboń,66,47,55,62,32,43,CAM,0
Saidu Salisu,51,56,39,49,29,64,ST,6
Kerwin Vargas,81,54,40,62,20,53,ST,6
Victor Akinwale,66,60,45,60,21,41,ST,6
Darragh Noone,54,48,54,57,47,54,CM,2
Lucas Hey,58,41,51,53,55,61,CB,1
Vaughn Covil,78,51,48,60,22,56,CAM,0
Jobby Justin,58,55,45,54,36,59,ST,6
Saeed Issah,62,20,28,36,55,69,CB,1
Bassekou Diabaté,75,54,40,55,21,51,ST,6
Sabelo Radebe,67,55,56,60,46,47,CAM,0
Otto Rosengren,64,45,58,59,48,48,CAM,0
Isak Bjerkebo,63,57,42,58,24,48,ST,6
Evan Caffrey,64,54,54,58,51,61,CAM,0
Feng Han,57,54,58,54,51,55,GK,3
Sam Dalby,65,56,39,53,20,61,ST,6
Mohamed Koné,56,53,54,58,21,54,GK,3
Runar Hauge,75,50,51,59,48,56,LW,4
Nikhil Poojary,74,49,49,58,43,59,RW,5
Wille Jakobsson,56,58,59,57,24,59,GK,3
Pratik Chaudhari,55,25,32,42,53,73,CB,1
Sean Brennan,68,50,55,58,47,57,CAM,0
Tommy Lonergan,65,56,44,56,20,56,ST,6
Amadou Camara,75,55,42,53,20,60,ST,6
Mateusz Lewandowski,67,55,42,55,20,62,ST,6
Yingjie Zhao,65,55,52,52,53,65,CM,2
Diego Aranda,57,55,54,56,24,53,GK,3
Georgios Theocharis,61,57,49,60,24,50,GK,3
Kilian Bauernfeind,68,49,58,59,39,61,CAM,0
Martin Delavallée,57,53,62,54,46,55,GK,3
Sean Roughan,64,29,44,41,54,63,CB,1
Andrew Quinn,47,30,42,42,56,60,CB,1
Rayane Falchou,58,52,57,60,40,54,GK,3
Arshdeep Singh,57,54,53,63,42,53,GK,3
Józef Burta,58,54,54,57,26,56,GK,3
Théo De Percin,61,55,56,58,22,55,GK,3
Christoph Fenninger,65,55,45,57,26,54,ST,6
Călin Popescu,73,47,52,59,40,56,CAM,0
Allan Tchaptchet,55,31,35,37,58,63,CB,1
Matthias Köbbing,61,57,52,56,32,51,GK,3
